Year,Season,stat_area,name,lob_index,Sex
1970,all,511,nefsc_biomass,27.382483803843446,M+F
1970,all,511,nefsc_abundance,60849.964008541,M+F
1970,all,512,nefsc_biomass,0.00722066109026051,M+F
1970,all,512,nefsc_abundance,72206.6109026051,M+F
1970,all,513,nefsc_biomass,54.0327051812865,M+F
1970,all,513,nefsc_abundance,46984.961027205645,M+F
1970,spring,511,nefsc_biomass,27.382483803843446,M+F
1970,spring,511,nefsc_abundance,60849.964008541,M+F
1970,spring,512,nefsc_biomass,0.00722066109026051,M+F
1970,spring,512,nefsc_abundance,72206.6109026051,M+F
1970,spring,513,nefsc_biomass,54.0327051812865,M+F
1970,spring,513,nefsc_abundance,46984.961027205645,M+F
1971,all,511,nefsc_biomass,22.81873650320287,M+F
1971,all,511,nefsc_abundance,76062.45501067623,M+F
1971,all,512,nefsc_biomass,132.86016406079338,M+F
1971,all,512,nefsc_abundance,115530.57744416816,M+F
1971,all,513,nefsc_biomass,28.196614811646654,M+F
1971,all,513,nefsc_abundance,112763.90646529356,M+F
1971,fall,512,nefsc_biomass,132.86016406079338,M+F
1971,fall,512,nefsc_abundance,115530.57744416816,M+F
1971,fall,513,nefsc_biomass,28.196614811646654,M+F
1971,fall,513,nefsc_abundance,112763.90646529356,M+F
1971,spring,511,nefsc_biomass,22.81873650320287,M+F
1971,spring,511,nefsc_abundance,76062.45501067623,M+F
1972,all,512,nefsc_biomass,92.43023848420673,M+F
1972,all,512,nefsc_abundance,144413.2218052102,M+F
1972,spring,512,nefsc_biomass,92.43023848420673,M+F
1972,spring,512,nefsc_abundance,144413.2218052102,M+F
1979,all,512,nefsc_biomass,554.2288012626387,M+F
1979,all,512,nefsc_abundance,599870.305960104,M+F
1979,all,513,nefsc_biomass,93.031632382698,M+F
1979,all,513,nefsc_abundance,140954.88308161695,M+F
1979,fall,512,nefsc_biomass,479.898466509957,M+F
1979,fall,512,nefsc_abundance,311043.86234968354,M+F
1979,fall,513,nefsc_biomass,93.031632382698,M+F
1979,fall,513,nefsc_abundance,140954.88308161695,M+F
1979,spring,512,nefsc_biomass,74.33033475268172,M+F
1979,spring,512,nefsc_abundance,288826.4436104204,M+F
1981,all,512,nefsc_biomass,329.26792224475145,M+F
1981,all,512,nefsc_abundance,462122.3097766726,M+F
1981,all,513,nefsc_biomass,14.095488308161695,M+F
1981,all,513,nefsc_abundance,28190.97661632339,M+F
1981,fall,512,nefsc_biomass,329.26792224475145,M+F
1981,fall,512,nefsc_abundance,462122.3097766726,M+F
1981,fall,513,nefsc_biomass,14.095488308161695,M+F
1981,fall,513,nefsc_abundance,28190.97661632339,M+F
1982,all,511,nefsc_biomass,129.30617351814962,M+F
1982,all,511,nefsc_abundance,76062.45501067623,M+F
1982,all,512,nefsc_biomass,169.685535621122,M+F
1982,all,512,nefsc_abundance,433239.66541563056,M+F
1982,all,513,nefsc_biomass,43.852630292058606,M+F
1982,all,513,nefsc_abundance,93969.92205441129,M+F
1982,fall,511,nefsc_biomass,129.30617351814962,M+F
1982,fall,511,nefsc_abundance,76062.45501067623,M+F
1982,fall,512,nefsc_biomass,169.685535621122,M+F
1982,fall,512,nefsc_abundance,433239.66541563056,M+F
1982,fall,513,nefsc_biomass,43.852630292058606,M+F
1982,fall,513,nefsc_abundance,93969.92205441129,M+F
1983,all,511,nefsc_biomass,127.78492441793608,M+F
1983,all,511,nefsc_abundance,60849.964008541,M+F
1983,all,512,nefsc_biomass,522.0537968258349,M+F
1983,all,512,nefsc_abundance,758169.4144773536,M+F
1983,all,513,nefsc_biomass,183.24134800610204,M+F
1983,all,513,nefsc_abundance,177097.16079485207,M+F
1983,fall,512,nefsc_biomass,323.48561684367087,M+F
1983,fall,512,nefsc_abundance,577652.8872208408,M+F
1983,fall,513,nefsc_biomass,112.76390646529356,M+F
1983,fall,513,nefsc_abundance,130112.19976764644,M+F
1983,spring,511,nefsc_biomass,127.78492441793608,M+F
1983,spring,511,nefsc_abundance,60849.964008541,M+F
1983,spring,512,nefsc_biomass,198.56817998216403,M+F
1983,spring,512,nefsc_abundance,180516.52725651275,M+F
1983,spring,513,nefsc_biomass,70.47744154080847,M+F
1983,spring,513,nefsc_abundance,46984.961027205645,M+F
1984,all,511,nefsc_biomass,131.84158868517216,M+F
1984,all,511,nefsc_abundance,152124.91002135247,M+F
1984,all,512,nefsc_biomass,295.6459568623331,M+F
1984,all,512,nefsc_abundance,312895.31391128874,M+F
1984,all,513,nefsc_biomass,273.85520141571294,M+F
1984,all,513,nefsc_abundance,644365.1798016775,M+F
1984,fall,511,nefsc_biomass,96.34577634685658,M+F
1984,fall,511,nefsc_abundance,101416.60668090165,M+F
1984,fall,512,nefsc_biomass,176.90619671138248,M+F
1984,fall,512,nefsc_abundance,216619.83270781528,M+F
1984,fall,513,nefsc_biomass,253.7187895469105,M+F
1984,fall,513,nefsc_abundance,604092.3560640726,M+F
1984,spring,511,nefsc_biomass,35.49581233831558,M+F
1984,spring,511,nefsc_abundance,50708.303340450824,M+F
1984,spring,512,nefsc_biomass,118.73976015095062,M+F
1984,spring,512,nefsc_abundance,96275.48120347345,M+F
1984,spring,513,nefsc_biomass,20.136411868802423,M+F
1984,spring,513,nefsc_abundance,40272.82373760484,M+F
1985,all,511,nefsc_biomass,329.6039717129304,M+F
1985,all,511,nefsc_abundance,380312.27505338116,M+F
